,week_day,route_id,start_time,travel_time,month_day,stop_id
564,1,0,57746,81,7,2
565,1,1,57813,76,7,2
566,1,3,57916,54,7,2
567,1,2,58236,55,7,2
568,1,0,58307,64,7,2
569,1,2,58409,66,7,2
570,1,3,58458,80,7,2
571,1,1,58512,93,7,2
572,1,0,58939,58,7,2
573,1,3,58996,62,7,2
574,1,2,59396,73,7,2
575,1,1,59452,102,7,2
576,1,0,59500,141,7,2
577,1,2,59541,146,7,2
578,1,1,59969,68,7,2
579,1,3,60032,81,7,2
580,1,0,60313,51,7,2
581,1,1,60394,48,7,2
582,1,0,60495,54,7,2
583,1,3,60542,73,7,2
584,1,2,60594,98,7,2
585,1,0,60835,53,7,2
586,1,2,60936,59,7,2
587,1,1,61072,63,7,2
588,1,3,61312,65,7,2
589,1,3,61491,53,7,2
590,1,0,61606,79,7,2
591,1,2,61915,69,7,2
592,1,0,61968,104,7,2
593,1,1,62081,56,7,2
594,1,2,62452,61,7,2
595,1,0,62596,53,7,2
596,1,3,62660,73,7,2
597,1,1,62728,72,7,2
598,1,2,62770,101,7,2
599,1,3,63216,57,7,2
600,1,0,63283,65,7,2
601,1,3,63466,49,7,2
602,1,2,63802,80,7,2
603,1,0,63940,60,7,2
604,1,3,64064,56,7,2
605,1,2,64364,57,7,2
606,1,0,64432,54,7,2
607,1,1,64493,56,7,2
608,1,0,64555,78,7,2
609,1,2,64614,85,7,2
610,1,1,64678,91,7,2
611,1,0,65215,72,7,2
612,1,1,65300,54,7,2
613,1,3,65391,64,7,2
614,1,2,65561,81,7,2
615,1,3,65630,93,7,2
616,1,3,65744,62,7,2
617,1,0,65813,57,7,2
618,1,1,65873,64,7,2
619,1,3,65951,54,7,2
620,1,2,66037,73,7,2
621,1,0,66477,56,7,2
622,1,3,66543,69,7,2
623,1,1,66614,65,7,2
624,1,2,66804,60,7,2
625,1,3,66992,54,7,2
626,1,1,67153,52,7,2
627,1,2,67267,63,7,2
628,1,0,67325,69,7,2
629,1,3,67617,82,7,2
630,1,2,67699,87,7,2
631,1,3,67743,124,7,2
632,1,0,67969,51,7,2
633,1,1,68032,67,7,2
634,1,3,68131,53,7,2
635,1,2,68350,61,7,2
636,1,1,68485,53,7,2
637,1,0,68737,67,7,2
638,1,3,68795,76,7,2
639,1,2,68875,67,7,2
640,1,0,69127,68,7,2
641,1,1,69185,84,7,2
642,1,0,69328,166,7,2
643,1,1,69537,51,7,2
644,1,3,69637,108,7,2
645,1,0,69754,78,7,2
646,1,3,69796,118,7,2
647,1,1,70209,56,7,2
648,1,0,70261,95,7,2
649,1,3,70331,91,7,2
650,1,2,70633,70,7,2
651,1,1,70725,64,7,2
652,1,0,70772,84,7,2
653,1,3,70840,80,7,2
654,1,2,71084,57,7,2
